front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
71,-3,299,-1,108,3,191,113.89,0,0,1,0,1,0
68,-3,297,-2,108,0,189,113.19,0,0,1,0,0,1
67,-1,400,103,151,43,249,164.81,0,1,0,0,0,1
87,20,400,0,154,3,246,165.87,0,1,0,0,1,0
84,-3,400,0,154,0,246,165.87,0,0,1,0,1,0
81,-3,74,-326,158,4,-84,52.02,0,1,0,0,0,1
80,-1,72,-2,156,-2,-84,50.61,0,1,0,0,1,0
77,-3,400,328,159,3,241,167.63,0,0,1,0,1,0
57,-20,400,0,159,0,241,167.63,0,0,1,0,0,1
72,15,400,0,161,2,239,168.34,0,1,0,0,0,1
70,-2,36,-364,181,20,-145,46.72,0,1,0,0,1,0
66,-4,37,1,183,2,-146,47.78,0,1,0,0,1,0
63,-3,35,-2,184,1,-149,47.43,0,1,0,0,1,0
62,-1,34,-1,186,2,-152,47.78,0,1,0,0,1,0
157,95,34,0,188,2,-154,48.49,0,1,0,0,1,0
57,-100,32,-2,189,1,-157,48.13,0,1,0,0,1,0
59,2,31,-1,190,1,-159,48.13,1,0,0,0,1,0
150,91,31,0,192,2,-161,48.84,0,1,0,1,0,0
148,-2,32,1,194,2,-162,49.90,0,1,0,0,1,0
50,-98,32,0,195,1,-163,50.26,0,1,0,0,1,0
142,92,32,0,196,1,-164,50.61,0,1,0,0,1,0
141,-1,36,4,37,-159,-1,-4.19,0,1,0,0,1,0
138,-3,39,3,36,-1,3,-3.48,0,1,0,0,1,0
135,-3,39,0,30,-6,9,-5.61,0,1,0,0,1,0
131,-4,36,-3,30,0,6,-6.67,0,1,0,0,1,0
73,-58,37,1,31,1,6,-5.96,0,1,0,0,1,0
70,-3,38,1,34,3,4,-4.54,0,1,0,0,1,0
104,34,36,-2,33,-1,3,-5.61,0,1,0,0,1,0
123,19,400,364,40,7,360,125.56,0,1,0,0,1,0
118,-5,400,0,33,-7,367,123.09,0,1,0,0,1,0
88,-30,400,0,36,3,364,124.15,0,0,1,0,1,0
84,-4,400,0,36,0,364,124.15,0,1,0,0,0,1
70,-14,400,0,45,9,355,127.33,0,1,0,0,1,0
110,40,34,-366,48,3,-14,-1.01,0,1,0,0,1,0
106,-4,34,0,49,1,-15,-0.66,0,1,0,0,1,0
61,-45,33,-1,50,1,-17,-0.66,0,1,0,0,1,0
59,-2,32,-1,52,2,-20,-0.30,0,1,0,0,1,0
59,0,32,0,57,5,-25,1.47,0,1,0,0,1,0
56,-3,32,0,56,-1,-24,1.11,0,1,0,0,1,0
