front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
36,0,31,-1,48,2,0,1,0,0,0,0,1,0,0,0,
400,364,28,-3,50,2,0,1,0,0,0,0,1,0,0,0,
400,0,26,-2,27,-23,0,1,0,0,0,0,1,0,0,0,
116,-284,26,0,24,-3,0,1,0,0,0,0,1,0,0,0,
111,-5,26,0,25,1,0,1,0,0,0,0,1,0,0,0,
67,-44,26,0,27,2,0,1,0,0,0,0,1,0,0,0,
105,38,29,3,30,3,0,0,1,0,0,0,1,0,0,0,
103,-2,28,-1,39,9,0,0,1,0,0,0,0,1,0,0,
100,-3,27,-1,40,1,0,1,0,0,0,0,0,1,0,0,
98,-2,29,2,37,-3,0,0,1,0,0,0,1,0,0,0,
96,-2,28,-1,30,-7,0,0,1,0,0,0,0,1,0,0,
94,-2,28,0,46,16,0,0,1,0,0,0,0,1,0,0,
91,-3,30,2,29,-17,0,0,1,0,0,0,0,1,0,0,
89,-2,29,-1,29,0,0,0,1,0,0,0,0,1,0,0,
87,-2,29,0,51,22,0,0,1,0,0,0,0,1,0,0,
82,-5,29,0,29,-22,0,0,1,0,0,0,0,1,0,0,
80,-2,38,9,30,1,0,0,1,0,0,0,0,1,0,0,
77,-3,30,-8,57,27,0,0,1,0,0,0,0,1,0,0,
75,-2,32,2,30,-27,0,0,1,0,0,0,0,1,0,0,
72,-3,36,4,61,31,0,0,1,0,0,0,0,1,0,0,
70,-2,30,-6,63,2,0,0,1,0,0,0,0,1,0,0,
69,-1,29,-1,66,3,0,0,1,0,0,0,0,1,0,0,
57,-12,29,0,68,2,0,0,1,0,0,0,0,1,0,0,
64,7,30,1,70,2,0,0,1,0,0,0,0,1,0,0,
60,-4,29,-1,72,2,0,0,1,0,0,0,0,1,0,0,
57,-3,65,36,30,-42,0,0,1,0,0,0,0,1,0,0,
56,-1,31,-34,29,-1,0,0,1,0,0,0,0,1,0,0,
55,-1,30,-1,79,50,0,0,1,0,0,0,0,1,0,0,
53,-2,29,-1,29,-50,0,0,1,0,0,0,0,1,0,0,
50,-3,29,0,29,0,0,0,1,0,0,0,0,1,0,0,
48,-2,30,1,30,1,0,0,1,0,0,0,0,1,0,0,
