front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
50,1,39,4,24,-1,15,-7.73,0,1,0,0,1,0
45,-5,34,-5,39,15,-5,-4.19,0,1,0,0,1,0
308,263,30,-4,21,-18,9,-11.97,0,1,0,0,1,0
36,-272,49,19,26,5,23,-3.48,0,1,0,0,1,0
37,1,39,-10,28,2,11,-6.31,0,1,0,0,1,0
62,25,39,0,36,8,3,-3.48,0,1,0,0,1,0
59,-3,43,4,34,-2,9,-2.78,0,1,0,0,1,0
58,-1,17,-26,30,-4,-13,-13.38,0,1,0,0,1,0
56,-2,43,26,16,-14,27,-9.14,0,1,0,0,1,0
21,-35,16,-27,16,0,0,-18.69,0,1,0,0,1,0
56,35,37,21,33,17,4,-5.25,0,1,0,0,1,0
75,19,38,1,35,2,3,-4.19,0,1,0,0,1,0
54,-21,41,3,35,0,6,-3.13,0,0,1,0,1,0
72,18,24,-17,33,-2,-9,-9.85,0,0,1,0,0,1
44,-28,36,12,33,0,3,-5.61,0,1,0,0,0,1
57,13,35,-1,39,6,-4,-3.84,0,1,0,0,1,0
66,9,35,0,37,-2,-2,-4.54,0,1,0,0,1,0
61,-5,23,-12,40,3,-17,-7.73,0,1,0,0,1,0
47,-14,21,-2,19,-21,2,-15.86,1,0,0,0,1,0
29,-18,18,-3,35,16,-17,-11.26,0,1,0,1,0,0
31,2,33,15,22,-13,11,-10.55,0,1,0,0,1,0
36,5,34,1,36,14,-2,-5.25,0,1,0,0,1,0
51,15,25,-9,18,-18,7,-14.80,0,1,0,0,1,0
50,-1,34,9,16,-2,18,-12.32,0,1,0,0,1,0
50,0,32,-2,21,5,11,-11.26,0,1,0,0,1,0
32,-18,32,0,34,13,-2,-6.67,0,1,0,0,1,0
43,11,34,2,35,1,-1,-5.61,0,1,0,0,1,0
43,0,19,-15,36,1,-17,-10.55,0,1,0,0,1,0
23,-20,17,-2,33,-3,-16,-12.32,0,1,0,0,1,0
20,-3,32,15,36,3,-4,-5.96,0,1,0,0,1,0
36,16,33,1,33,-3,0,-6.67,0,1,0,0,1,0
37,1,29,-4,17,-16,12,-13.74,0,1,0,0,1,0
37,0,36,7,21,4,15,-9.85,0,1,0,0,1,0
50,13,34,-2,17,-4,17,-11.97,0,1,0,0,1,0
43,-7,34,0,39,22,-5,-4.19,0,1,0,0,1,0
57,14,32,-2,18,-21,14,-12.32,0,1,0,0,1,0
42,-15,62,30,30,12,32,2.53,0,1,0,0,1,0
35,-7,33,-29,32,2,1,-7.02,0,1,0,0,1,0
60,25,18,-15,42,10,-24,-8.79,0,1,0,0,1,0
44,-16,19,1,29,-13,-10,-13.03,0,1,0,0,1,0
40,-4,31,12,18,-11,13,-12.68,0,1,0,0,1,0
23,-17,32,1,60,42,-28,2.53,0,1,0,0,1,0
38,15,32,0,40,-20,-8,-4.54,0,1,0,0,1,0
35,-3,31,-1,21,-19,10,-11.62,0,1,0,0,1,0
59,24,16,-15,44,23,-28,-8.79,0,1,0,0,1,0
400,341,20,4,43,-1,-23,-7.73,0,1,0,0,1,0
71,-329,31,11,57,14,-26,1.11,0,1,0,0,1,0
