front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
400,0,80,-3,400,0,0,0,0,1,0,0,0,0,1,0,
400,0,77,-3,400,0,0,0,0,1,0,0,0,0,1,0,
78,-322,74,-3,400,0,0,0,0,1,0,0,0,0,1,0,
73,-5,70,-4,400,0,0,0,0,1,0,0,0,0,1,0,
69,-4,68,-2,400,0,0,0,0,1,0,0,0,0,1,0,
65,-4,120,52,75,-325,0,0,1,0,0,0,0,0,1,0,
62,-3,118,-2,65,-10,0,0,1,0,0,0,0,1,0,0,
59,-3,115,-3,64,-1,0,0,1,0,0,0,0,1,0,0,
57,-2,113,-2,78,14,0,0,1,0,0,0,0,1,0,0,
54,-3,112,-1,80,2,0,0,1,0,0,0,0,1,0,0,
52,-2,111,-1,83,3,0,0,1,0,0,0,0,1,0,0,
50,-2,109,-2,91,8,0,0,0,1,0,0,0,1,0,0,
47,-3,107,-2,400,309,0,0,0,1,0,0,0,0,1,0,
44,-3,104,-3,400,0,0,0,1,0,0,0,0,0,1,0,
41,-3,102,-2,82,-318,0,0,0,1,0,0,0,1,0,0,
39,-2,100,-2,80,-2,0,0,1,0,0,0,0,0,1,0,
38,-1,98,-2,400,320,0,0,1,0,0,0,0,1,0,0,
326,288,43,-55,400,0,0,0,1,0,0,0,0,1,0,0,
278,-48,45,2,112,-288,0,0,0,1,0,0,0,1,0,0,
276,-2,42,-3,400,288,0,0,1,0,0,0,0,0,1,0,
271,-5,37,-5,93,-307,0,0,1,0,0,0,0,1,0,0,
270,-1,37,0,25,-68,0,0,0,1,0,0,0,1,0,0,
266,-4,36,-1,23,-2,0,0,1,0,0,0,0,0,1,0,
308,42,29,-7,23,0,0,0,1,0,0,0,0,1,0,0,
305,-3,28,-1,23,0,0,0,1,0,0,0,0,1,0,0,
400,95,27,-1,23,0,0,0,1,0,0,0,0,1,0,0,
76,-324,26,-1,24,1,0,0,1,0,0,0,0,1,0,0,
73,-3,27,1,25,1,0,0,1,0,0,0,0,1,0,0,
74,1,26,-1,24,-1,0,0,1,0,0,0,0,1,0,0,
69,-5,28,2,25,1,0,0,1,0,0,0,0,1,0,0,
66,-3,29,1,26,1,0,0,1,0,0,0,0,1,0,0,
70,4,29,0,27,1,0,0,1,0,0,0,0,1,0,0,
63,-7,29,0,26,-1,0,0,1,0,0,0,0,1,0,0,
60,-3,27,-2,26,0,0,0,1,0,0,0,0,1,0,0,
57,-3,27,0,27,1,0,0,1,0,0,0,0,1,0,0,
58,1,30,3,27,0,0,0,1,0,0,0,0,1,0,0,
55,-3,27,-3,26,-1,0,0,1,0,0,0,0,1,0,0,
57,2,28,1,28,2,0,0,1,0,0,0,0,1,0,0,
50,-7,27,-1,26,-2,0,0,1,0,0,0,0,1,0,0,
47,-3,29,2,28,2,0,0,1,0,0,0,0,1,0,0,
46,-1,29,0,27,-1,0,0,1,0,0,0,0,1,0,0,
44,-2,28,-1,53,26,0,0,1,0,0,0,0,1,0,0,
43,-1,29,1,27,-26,0,0,1,0,0,0,0,1,0,0,
42,-1,27,-2,27,0,0,0,1,0,0,0,0,1,0,0,
134,92,27,0,50,23,0,0,1,0,0,0,0,1,0,0,
39,-95,28,1,51,1,0,0,1,0,0,0,0,1,0,0,
36,-3,28,0,29,-22,0,1,0,0,0,0,0,1,0,0,
35,-1,26,-2,29,0,0,1,0,0,0,0,1,0,0,0,
33,-2,26,0,28,-1,0,0,1,0,0,0,1,0,0,0,
33,0,27,1,24,-4,0,1,0,0,0,0,0,1,0,0,
31,-2,26,-1,24,0,0,0,1,0,0,0,1,0,0,0,
241,210,27,1,25,1,0,0,1,0,0,0,0,1,0,0,
198,-43,23,-4,24,-1,0,1,0,0,0,0,0,1,0,0,
195,-3,22,-1,24,0,0,0,1,0,0,0,1,0,0,0,
